accession,species
CP064977,Candidatus Campbellbacteria bacterium
NZ_CP076459,Candidatus Minimicrobia vallesae
CP036296,Engelhardtia mirabilis
NZ_CP011272,Pirellula sp. SH-Sr6A
CP064967,Candidatus Roizmanbacteria bacterium
CP038470,Dehalococcoides mccartyi
CP129493,Candidatus Kapaibacterium sp.
NZ_AP013035,Thermosulfidibacter takaii ABI70S6
CP144374,Thermodesulfovibrio obliviosus
NZ_AP038758,Minisyncoccus archaeiphilus
NZ_CP037058,Borrelia miyamotoi
NZ_AP025585,Pyramidobacter piscolens
NZ_CP056003,Fusobacterium animalis
CP003130,Granulicella mallensis MP5ACTX8
CP065383,Atribacter laminatus
CP003198,Acetomicrobium mobile DSM 13181
NZ_CP109552,Microbispora sp. NBC_01389
CP176813,Desulfurobacterium thermolithotrophum
NZ_CP110931,Salmonella enterica
NZ_CP178621,Bdellovibrio sp. HCB337
